#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 05 24 18 50 141 10.4 13.0  1.56  8.33  5.21 110 1017.6  24.3  25.9  21.5 99.0 99.00
2012 05 24 19 50 144 10.7 13.2  1.53  8.33  4.94 129 1017.7  24.4  25.9  22.0 99.0 99.00
2012 05 24 20 50 135 10.8 13.0  1.88  5.88  5.06 154 1017.5  23.9  25.8  22.0 99.0 99.00
2012 05 24 21 50 135 11.4 13.8  1.85  5.88  5.04 163 1016.8  24.0  25.8  21.8 99.0 99.00
2012 05 24 22 50 139 12.5 14.5  1.94  6.25  4.87 159 1016.0  23.6  25.8  21.3 99.0 99.00
2012 05 24 23 50 125 12.8 14.8  2.03  6.67  5.02 160 1016.0  23.6  25.8  21.0 99.0 99.00
2012 05 25 00 50 117 12.3 14.7  1.97  6.25  5.09 151 1016.2  23.7  25.8  21.1 99.0 99.00
2012 05 25 01 50 104 13.6 16.4  2.38  7.14  5.54 143 1016.0  23.6  25.8  21.6 99.0 99.00
2012 05 25 02 50  98 15.2 18.2  3.05  8.33  6.29 145 1015.2  22.7  25.8  21.9 99.0 99.00
2012 05 25 03 50 103 14.0 17.6  2.86  8.33  5.98 123 1015.1  23.0  25.8  22.4 99.0 99.00
2012 05 25 04 50 102 12.4 15.1  2.79  7.14  5.92 123 1013.7  23.1  25.8  22.5 99.0 99.00
2012 05 25 05 50 176  8.1  9.9  2.29  7.14  5.72 138 1014.2  24.8  25.8  22.8 99.0 99.00
2012 05 25 06 50 206 10.3 12.5  2.25  7.14  5.70 125 1013.3  24.9  25.7  22.7 99.0 99.00
2012 05 25 07 50 204 10.1 13.1  2.13  8.33  5.37 122 1013.1  24.5  25.7  23.5 99.0 99.00
2012 05 25 08 50 183 11.5 13.8 99.00 99.00 99.00 999 1013.0  24.8  25.6  23.3 99.0 99.00
2012 05 25 09 50 193 10.4 12.0  2.34  8.33  5.56 117 1013.9  24.5  25.6  23.5 99.0 99.00
2012 05 25 10 50 183 12.7 14.7  2.33  7.69  5.70 131 1014.2  24.5  25.6  23.5 99.0 99.00
2012 05 25 11 50 182  9.7 11.2  2.13  8.33  5.52 134 1014.7  24.2  25.6  22.9 99.0 99.00
2012 05 25 12 50 167  8.0  9.9  2.06  8.33  5.36 125 1015.2  23.8  25.5  22.1 99.0 99.00
2012 05 25 13 50 155  4.2  5.6  1.97  7.69  5.94 137 1015.6  23.9  25.5  22.0 99.0 99.00
2012 05 25 14 50 131  9.3 11.7  1.74  8.33  6.03 156 1014.5  25.0  25.5  23.2 99.0 99.00
2012 05 25 15 50 126 12.3 15.8  1.82  7.69  5.42 153 1013.2  24.0  25.5  22.0 99.0 99.00
2012 05 25 16 50 101 13.8 19.7  2.98  8.33  6.08 140 1012.1  24.1  25.5  23.4 99.0 99.00
2012 05 25 17 50  98  8.0 10.8  2.45  7.69  5.86 139 1012.4  23.1  25.5  22.4 99.0 99.00
2012 05 25 18 50 119 15.8 19.7  2.40  8.33  6.04 143 1008.8  23.8  25.5  23.7 99.0 99.00
2012 05 25 19 50 118 16.9 22.7  3.88  8.33  6.61 150 1006.0  24.3  25.6  24.0 99.0 99.00
2012 05 25 20 50 137 11.7 14.9  4.62 10.00  7.12 158 1004.3  24.6  25.6  23.9 99.0 99.00
2012 05 25 21 50 194 15.4 19.2  4.21 10.00  6.85 140 1004.6  24.7  25.6  23.5 99.0 99.00
2012 05 25 22 50 242  7.5 10.5  4.12 10.00  6.85 154 1006.2  23.8  25.6  22.7 99.0 99.00
2012 05 25 23 50 253 12.5 14.9  3.46 10.00  6.64 158 1007.1  23.8  25.6  21.5 99.0 99.00
2012 05 26 00 50 249 13.8 16.2  3.68  9.09  6.48 153 1007.4  24.1  25.6  20.9 99.0 99.00
2012 05 26 01 50 234 13.7 16.8  3.15  9.09  6.39 144 1008.2  24.2  25.6  21.3 99.0 99.00
